Nicolas Andres,Huarte,29369913,1989-12-05,6857
Maria Antonella,Leiva,24260718,1987-08-01,8676
Martina Pilar,Mamani,27726965,1994-03-16,8848
Bautista Ezequiel,Farina,26869836,1999-06-02,517
Lara Agustina,Rivas,28045551,1995-03-16,7173
Joaquin Ariel,De León,34808789,2003-01-26,2641
Tomas Uriel,Carrizo,21639989,2000-11-05,3824
Lautaro Maximiliano,Gonzales,31977925,1984-08-06,9446
Santiago Román,Mariani,39201395,1996-08-03,2851
Valentina,Andrade,32722649,1984-05-28,767
Santiago,Varela,22002606,1982-06-17,3578
Martina,Ibáñez,35286793,2002-04-09,6171
Joaquin,Andrade,39408018,2002-08-25,4389
Juan Ignacio,Fazzi,31387129,1999-03-01,2367
Sofia,Hidalgo,34053631,1996-12-09,9852
Tomas,Mejía,20339753,1994-08-25,6405
Bautista,Mora,23912813,2000-04-10,6796
Mateo,Rivera,28605853,1991-06-04,3539
Catalina,Mamani,33317469,2000-06-20,8782
Benjamin,Pereira,21451199,1998-03-20,1477
Agustin,Huarte,38092602,1985-11-15,361
Santino,Zurich,28914930,2001-07-21,4757
Juan Cruz,Pinedo,38462350,2002-05-12,1867
Camila,Saldaña,25910678,1992-01-11,2678
Francisco,Álvarez,25285482,1985-11-06,6089
Ignacio,Amenedo,30146368,1982-05-31,2761
Lautaro,Rotundo,34965769,2003-07-16,4717
Juan Pablo,Mora,23283710,1987-10-25,8677
Valentino,Pereyra,24889082,1996-08-13,5981
Lucia,Moreno,30120719,1993-02-12,9610
Delfina,Rivera,31301330,1987-12-16,1422
Agustina,Rotman,36402122,1995-12-13,2401
Abril,Villalba,26206733,1999-11-10,2388
Victoria,Leiva,23720699,1996-11-14,8576
Guadalupe,Contreras,24864624,1982-10-23,2750
Nicolas,Pineda,26981039,2003-06-14,4802
Valentín,Rojas,28200989,1990-03-09,746
Julieta,Abadía,20895461,1997-08-05,2636
Morena,Nave,27273513,2001-11-24,7472
Candela,Sberna,34286765,2003-07-27,227
Milagros,Rómulo,37324824,1982-07-31,2170
Facundo,Nari,36371355,1984-10-06,5589
Matias,Lorca,23276968,1999-12-12,6528
Maria Victoria,Pinedo,39689045,1992-08-11,131
Josefina,Vargas,25500198,1987-02-21,9520
Franco,Demichelis,30719924,1990-10-12,4985
Juan Manuel,Rivera,20586085,1993-01-23,4420
Felipe,De Luca,33241230,1996-04-24,3576
Juana,Farías,34118263,1998-12-28,9317
Lucas,Ramírez,26838598,1989-04-17,6801
