Valentina,Vera,30170921,1982-05-22,6053
Santiago,Álvarez,33936970,1986-04-25,7068
Martina,Borges,21073376,1994-09-01,6293
Joaquin,Valenzuela,23762139,1995-04-10,1502
Juan Ignacio,Pereyra,25829297,1981-09-13,4504
Sofia,Carranza,23391574,1998-07-06,1874
Tomas,Jiménez,24071423,2003-07-23,9555
Bautista,Schapira,38220144,2003-03-18,4352
Mateo,Agüero,29380265,1981-09-07,3347
Catalina,Giménez,37133890,1989-10-02,2041
Benjamin,Martínez,28984059,1992-12-25,509
Agustin,Borges,38254370,1983-06-05,6233
Santino,Marchi,24932324,1987-07-18,3405
Juan Cruz,Pérez,28135861,2004-05-12,3524
Camila,Varela,38654514,1987-09-05,1260
Francisco,Díaz,31641829,2000-05-03,3451
Ignacio,Mora,24435476,1983-04-17,41
Lautaro,Rotundo,33534237,1987-12-17,4014
Juan Pablo,Quispe,28085160,1996-09-04,1275
Valentino,Carranza,31053107,1988-01-09,6633
Lucia,Vargas,34712774,1985-09-13,7380
Delfina,Sala,39001048,1994-11-25,7364
Agustina,Mejía,24148439,2000-01-12,8028
Abril,Scanone,33186398,1982-01-10,8158
Victoria,D'Elia,30453615,1991-12-20,2637
Guadalupe,Huergo,38337195,1991-10-02,9518
Nicolas,Abadía,28931612,1984-12-02,8762
Valentín,Sorbera,22784675,1981-10-13,8242
Julieta,D'Elia,34472143,1987-03-13,5601
Morena,Rosso,20243933,1994-10-08,175
Candela,Arredondo,29712971,2003-02-23,3528
Milagros,Vargas,35910892,1986-01-08,7394
Facundo,Schapira,33715294,1994-07-27,9499
Matias,Rivera,21455493,1982-04-23,2306
Maria Victoria,Loreto,38899732,2004-07-28,4431
Josefina,León,37095093,2000-03-09,3158
Franco,Sosa,28790574,1980-01-03,8314
Juan Manuel,Farías,38626137,1992-06-21,4395
Felipe,Saldaña,23443400,2003-02-14,8327
Juana,Nave,22708309,1996-12-22,710
Lucas,Díaz,38829303,1988-06-01,5928
Maximo,Leiva,33949819,1998-03-22,157
Pilar,Farina,26833454,1993-12-10,292
Juan Bautista,Lorenzo,31540487,1980-10-28,721
Lautaro Ezequiel,Ibáñez,21601358,2004-08-23,1992
Thiago,Pineda,23589286,1999-12-02,6807
Malena,Santana,29557206,1982-08-06,7464
Lola,Varela,29871753,1980-09-10,4585
Mia,Rivas,37234143,1982-10-02,5184
Santiago Nicolas,Pineda,29578408,1990-05-14,2255
Matias Ezequiel,Zambrano,39051386,1992-06-21,7335
Martin,D'Elia,31912447,1980-12-19,764
Ana Paula,Villalba,35197783,2003-11-13,6435
Tomas Agustin,Álvarez,38357131,1999-03-17,9953
Manuel,León,22478876,1990-04-09,371
Agostina,Benítez,25085870,1990-09-16,3347
Ramiro,Salvador,32048924,2002-09-25,2943
Constanza,D'Elia,28668509,1984-11-14,9145
Maria Belen,D'Elia,36508278,1999-09-14,3197
Luca,Ramírez,39763334,1994-12-05,915
Bruno,Abadía,38153582,1995-06-19,3054
